"user_id","name","screen_name","location","description","url","protected","followers_count","friends_count","listed_count","created_at","favourites_count","utc_offset","time_zone","geo_enabled","verified","statuses_count","lang","contributors_enabled","is_translator","is_translation_enabled","profile_background_color","profile_background_image_url","profile_background_image_url_https","profile_background_tile","profile_image_url","profile_image_url_https","profile_banner_url","profile_link_color","profile_sidebar_border_color","profile_sidebar_fill_color","profile_text_color","profile_use_background_image","has_extended_profile","default_profile","default_profile_image","following","follow_request_sent","notifications","translator_type"
"x1354848762561224707","Moriah Taylor (she/her)","moriah_taylor58","Columbus, OH","A true-to-self data enthusiast working w/ CUCollaborate to help credit unions beat banks #DataViz #TidyTuesday #RStats #Streamer https://t.co/o2Z0lHzpzL","https://t.co/opfV0sZXGn",FALSE,1233,1270,36,2021-01-28 17:48:27,3727,,,FALSE,FALSE,1017,,FALSE,FALSE,FALSE,"F5F8FA",,,FALSE,"http://pbs.twimg.com/profile_images/1416610766564757505/2DDn6vDh_normal.jpg","https://pbs.twimg.com/profile_images/1416610766564757505/2DDn6vDh_normal.jpg","https://pbs.twimg.com/profile_banners/1354848762561224707/1620518460","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"none"
"x1353244441281228802","R Function A Day","rfunctionaday","","R function a day keeps the madness away 🧘‍♀️ — If you’re a new follower, check out older posts as well 😊 — From 24.01.2021 to 24.01.2022 — #rstats",,FALSE,14620,0,132,2021-01-24 07:33:23,851,,,FALSE,FALSE,341,,FALSE,FALSE,FALSE,"F5F8FA",,,FALSE,"http://pbs.twimg.com/profile_images/1353254711282036736/uMfVdk0q_normal.jpg","https://pbs.twimg.com/profile_images/1353254711282036736/uMfVdk0q_normal.jpg","https://pbs.twimg.com/profile_banners/1353244441281228802/1611754696","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,"none"
"x1306626901432324097","R Tweets","rstats_tweets","","Bot automatically retweeting things posted with the #rstats hashtag. Highly filtered. Profile and header image CC-BY-4.0 @allison_horst. Bot by @MikeMahoney218.",,FALSE,1573,1,26,2020-09-17 16:12:09,4,,,FALSE,FALSE,51433,,FALSE,FALSE,FALSE,"F5F8FA",,,FALSE,"http://pbs.twimg.com/profile_images/1306627792646397953/pPwT4WsO_normal.jpg","https://pbs.twimg.com/profile_images/1306627792646397953/pPwT4WsO_normal.jpg","https://pbs.twimg.com/profile_banners/1306626901432324097/1600359349","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"none"
"x1215516763024003074","Ijeamaka A","ijeamaka_a","California, USA","Health Data Science at Kaiser Division of Research | MPH Berkeley SPH '20 | Yale '15 | All data viz or computational art made in #rstats unless otherwise stated","https://t.co/3Oj2quLhst",FALSE,2331,205,46,2020-01-10 06:12:59,3128,,,FALSE,FALSE,1979,,FALSE,FALSE,FALSE,"F5F8FA",,,FALSE,"http://pbs.twimg.com/profile_images/1223869706592907265/bHglwdiz_normal.jpg","https://pbs.twimg.com/profile_images/1223869706592907265/bHglwdiz_normal.jpg","https://pbs.twimg.com/profile_banners/1215516763024003074/1587070411","1DA1F2","C0DEED","DDEEF6","333333",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"none"
"x1203623631856779264","R posts you might have missed!","icymi_r","","📊📦✨ Promoting great #rstats posts & packages! For python check out @icymi_py. Tweets by @rushworth_a. 🗞️ Newsletter https://t.co/qLlNxDVzBk","https://t.co/QpQr7lYZRU",FALSE,21471,0,276,2019-12-08 10:33:40,1,,,FALSE,FALSE,6274,,FALSE,FALSE,FALSE,"F5F8FA",,,FALSE,"http://pbs.twimg.com/profile_images/1376480775646875652/Yff3wMaQ_normal.jpg","https://pbs.twimg.com/profile_images/1376480775646875652/Yff3wMaQ_normal.jpg","https://pbs.twimg.com/profile_banners/1203623631856779264/1617013566","1DA1F2","C0DEED","DDEEF6","333333",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"none"
"x951169512925097984","R for the Rest of Us","rfortherest","Portland, OR","You don’t need a PhD in statistics or years of coding experience to learn R, the most powerful tool for data analysis and visualization. Made by @dgkeyes.","https://t.co/PzCE5jonsv",FALSE,11368,234,201,2018-01-10 19:10:58,459,,,FALSE,FALSE,1822,,FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1362621179345821696/KUvS6tb5_normal.png","https://pbs.twimg.com/profile_images/1362621179345821696/KUvS6tb5_normal.png","https://pbs.twimg.com/profile_banners/951169512925097984/1600786604","6CABDD","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"none"
"x844152803991994368","R Weekly Live","rweekly_live","moon","@rweekly_org real-time updates beta version #rstats, submit posts with https://t.co/KgSzCxvnzZ or https://t.co/FGQg7Pkwd3","https://t.co/Lgoy0pDGMj",FALSE,4704,1,128,2017-03-21 11:44:46,97,,,FALSE,FALSE,8570,,FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/915254894319116294/Dd2VelqN_normal.jpg","https://pbs.twimg.com/profile_images/915254894319116294/Dd2VelqN_normal.jpg","https://pbs.twimg.com/profile_banners/844152803991994368/1507048773","ABB8C2","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x733994123678490625","R Weekly","rweekly_org","moon","#rstats Weekly Updates from the R Community. Real-time updates @rweekly_live , submit with https://t.co/KgSzCxdMbp or https://t.co/FGQg7P2UOt","https://t.co/fV2vaey9qM",FALSE,12140,23,312,2016-05-21 12:13:30,347,,,FALSE,FALSE,391,,FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/915254392378466304/PjCpks3r_normal.jpg","https://pbs.twimg.com/profile_images/915254392378466304/PjCpks3r_normal.jpg","https://pbs.twimg.com/profile_banners/733994123678490625/1507048647","ABB8C2","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"none"
"x3092381638","Cédric Scherer 💉💉","CedScherer","Berlin, Germany","🧙‍♂️📊👨‍💻 Freelance #DataViz Specialist || PostDoc in #Ecology @EcoDynIZW || @correlaid Volunteer || #rstats #ggplot2 #datavis #maps #ddj #design || he/him","https://t.co/2jRS9ovubO",FALSE,10437,1868,199,2015-03-16 10:21:19,18967,,,TRUE,FALSE,10389,,FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1430433592312836098/r4QWaCQh_normal.jpg","https://pbs.twimg.com/profile_images/1430433592312836098/r4QWaCQh_normal.jpg","https://pbs.twimg.com/profile_banners/3092381638/1626256879","FFCA00","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"none"
"x2613859267","RStudio Tips","rstudiotips","Seattle, WA","Useful features, shortcuts, and ideas for working with the RStudio IDE to develop R analyses, packages, and documents.","http://t.co/OkBGsvjQ0u",FALSE,80505,52,1297,2014-07-09 16:33:00,187,,,FALSE,FALSE,489,,FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1111486463412101120/scqjf54K_normal.png","https://pbs.twimg.com/profile_images/1111486463412101120/scqjf54K_normal.png","https://pbs.twimg.com/profile_banners/2613859267/1404924876","89C9FA","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"none"
